,popYr,year,pop,dataset,ct_other,ct_bumble_lg_bee,ct_butterfly_all,ct_hawkmoth,ct_small_med_bee,ct_hummingbird,pr_other,pr_bumble_lg_bee,pr_butterfly_all,pr_hawkmoth,pr_small_med_bee,pr_hummingbird,rt_other,rt_bumble_lg_bee,rt_butterfly_all,rt_hawkmoth,rt_small_med_bee,rt_hummingbird,taxa,sp,reg1,reg2,corL,corW,stigma,lipL,brLbW,red,green,blue,latN,lonW,visTotal,avgNMDS1,avgNMDS2,hex,pch_ind,nmds1,nmds2
45,CLA-2019-nf,2019,CLA,nonfocal_wide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PC,C,C,C,28.06486667,3.036033333,2.1353,4.155333333,6.144833333,244.3333333,222.6666667,44.6,33.75562,-98.3829,0,-0.364396589,-0.084684878,#f4df2d,23,-0.30001734,-0.354556785
46,CMSC-2019-nf,2019,CMSC,nonfocal_wide,0,0,0,13,3,0,0,0,0,0.8125,0.1875,0,0,0,0,0.060532688,0.013969082,0,PC,C,C,C,34.71851667,3.181433333,1.8928,5.2433,3.87135,238.7666667,225.3,68.33333333,34.73168,-98.56844,16,-0.226053219,-0.14496029,#efe144,23,-0.011918743,-0.114122094
47,CQL-2019-nf,2019,CQL,nonfocal_wide,0,67,0,0,7,29,0,0.650485437,0,0,0.067961165,0.281553398,0,0.046644389,0,0,0.004873294,0.020189362,PC,C,C,C,27.15438333,3.3095,2.073033333,4.230866667,6.029266667,240.6,225.8333333,65.4,33.20647,-98.15727,103,-0.245162952,-0.135419859,#f1e241,23,-0.235060892,-0.349139946
48,LMN-2019-nf,2019,LMN,nonfocal_wide,0,0,0,0,0,209,0,0,0,0,0,1,0,0,0,0,0,0.452087389,PC,L,L,L,37.66555,2.984916667,3.187483333,5.0167,6.882233333,242.7,88.63333333,26.93333333,31.33261,-97.46821,209,-0.397081299,0.338107521,#f3591b,24,-0.492611892,-0.091901523
49,LRR-2019-nf,2019,LRR,nonfocal_wide,0,0,110,0,0,123,0,0,0.472103004,0,0,0.527896996,0,0,0.090347592,0,0,0.101025034,PC,L,L,L,34.02525862,2.859051724,2.250275862,3.925241379,6.560689655,246,83.75862069,31.55172414,30.61922,-98.07169,233,-0.330922003,0.344990093,#f65420,24,-0.492337354,-0.131676743
50,LVH-2019-nf,2019,LVH,nonfocal_wide,2,0,5,3,1,44,0.036363636,0,0.090909091,0.054545455,0.018181818,0.8,0.00443828,0,0.0110957,0.00665742,0.00221914,0.097642164,PC,L,L,L,33.73236667,2.806983333,2.569183333,4.422033333,5.33735,239.2666667,60.3,28.6,30.2759,-97.8971,55,-0.319592369,0.464992539,#ef3c1d,24,-0.524614419,-0.002962658
51,PCM-2019-nf,2019,PCM,nonfocal_wide,0,59,7,21,0,2,0,0.662921348,0.078651685,0.235955056,0,0.02247191,0,0.097902562,0.011615558,0.034846675,0,0.003318731,PC,P,P,P,30.58203333,3.837766667,2.739916667,5.046566667,4.535666667,193.9,48.3,118.6666667,33.31087,-96.24411,89,0.387669567,0.258923206,#c23077,22,-0.365787838,0.429059854
52,PMT-2019-nf,2019,PMT,nonfocal_wide,0,0,7,0,0,115,0,0,0.057377049,0,0,0.942622951,0,0,0.00335249,0,0,0.055076628,PC,P,P,P,31.4571,3.137933333,2.145416667,3.989316667,5.301283333,209.0333333,63.2,99.7,31.88892,-97.69912,122,0.227262116,0.2290579,#d13f64,22,-0.319555804,0.115798711
53,PTH-2019-nf,2019,PTH,nonfocal_wide,19,4,94,48,8,24,0.096446701,0.020304569,0.47715736,0.243654822,0.040609137,0.121827411,0.002495403,0.000525348,0.012345679,0.006304177,0.001050696,0.003152088,PC,P,P,P,32.32156667,3.47815,2.332433333,4.682616667,5.608483333,188.4,52.66666667,134.2,32.74596,-97.27286,197,0.421635397,0.168211371,#bc3586,22,-0.342991176,0.279097365
54,PTMS-2019-nf,2019,PTMS,nonfocal_wide,1,0,6,0,3,0,0.1,0,0.6,0,0.3,0,0.000278023,0,0.00166814,0,0.00083407,0,PC,P,P,P,32.20373333,3.51825,1.769816667,4.493983333,4.664233333,177,44.76666667,115,36.1815,-95.8168383,10,0.397170408,0.222859127,#b12d73,22,-0.266849127,0.401542488
55,SBL-2019-nf,2019,SBL,nonfocal_wide,0,0,0,29,0,0,0,0,0,1,0,0,0,0,0,0.443086325,0,0,S,S,sS,wS,46.19375,3.112785714,1.530517857,5.565446429,1.681267857,203.1428571,148.3928571,107.6785714,33.34243,-104.333,29,0.072016547,-0.117311022,#cb946c,21,0.349456228,0.042354508
56,SCL-2019-nf,2019,SCL,nonfocal_wide,0,2,0,16,0,0,0,0.111111111,0,0.888888889,0,0,0,0.014300014,0,0.114400114,0,0,S,S,sS,wS,44.1934,2.90535,1.597916667,5.58215,1.486716667,233,150.8333333,130.0666667,33.5655,-101.80032,18,0.126897907,-0.072118327,#e99782,21,0.330518589,0.088267314
57,SFP-2019-nf,2019,SFP,nonfocal_wide,1,96,0,0,4,0,0.00990099,0.95049505,0,0,0.03960396,0,0.00621311,0.596458527,0,0,0.024852439,0,S,S,nS,nS,41.25715,2.839633333,1.521466667,5.382016667,2.598333333,141.9,162.4666667,62.36666667,47.05173,-96.427291,101,-0.117471738,-0.270508552,#8ea23e,21,0.373448992,-0.229408069
58,SIC-2019-nf,2019,SIC,nonfocal_wide,0,0,3,49,0,0,0,0,0.057692308,0.942307692,0,0,0,0,0.007177033,0.11722488,0,0,S,S,sS,sS,29.92193333,2.516483333,1.547466667,4.56895,2.4925,225.1333333,105.3,153.7,30.486035,-101.7882521,52,0.288949034,0.022388958,#e1699a,21,0.046910611,0.130361025
59,SMP-2019-nf,2019,SMP,nonfocal_wide,0,105,0,0,0,0,0,1,0,0,0,0,0,0.04207405,0,0,0,0,S,S,sS,sS,30.81805,2.54545,1.86145,4.901066667,2.604,234.7,215.4333333,57.33333333,32.2852116,-100.7884505,105,-0.283041378,-0.11393331,#ebd739,21,0.064111804,-0.236224549
60,SNRM-2019-nf,2019,SNRM,nonfocal_wide,0,14,0,0,7,0,0,0.666666667,0,0,0.333333333,0,0,0.114379085,0,0,0.057189542,0,S,S,nS,nS,49.68093333,3.149716667,1.759966667,6.487066667,1.882333333,213,209.5,146.4333333,41.89933,-89.34156,21,NA,NA,#d5d292,21,0.431655029,-0.001391652
