plantID,pop,year,popYear,taxa,sp,reg,nFlrs,nFrts,latN,lonW
PCM06,PCM,2019,PCM-2019,PC,P,P,23,9,33.31087,-96.24411
PCM07,PCM,2019,PCM-2019,PC,P,P,11,9,33.31087,-96.24411
PCM08,PCM,2019,PCM-2019,PC,P,P,13,4,33.31087,-96.24411
PCM09,PCM,2019,PCM-2019,PC,P,P,21,12,33.31087,-96.24411
PCM10,PCM,2019,PCM-2019,PC,P,P,14,11,33.31087,-96.24411
PCM11,PCM,2019,PCM-2019,PC,P,P,24,16,33.31087,-96.24411
PCM12,PCM,2019,PCM-2019,PC,P,P,17,6,33.31087,-96.24411
PCM13,PCM,2019,PCM-2019,PC,P,P,17,15,33.31087,-96.24411
PCM14,PCM,2019,PCM-2019,PC,P,P,17,7,33.31087,-96.24411
PCM15,PCM,2019,PCM-2019,PC,P,P,18,10,33.31087,-96.24411
PCM16,PCM,2019,PCM-2019,PC,P,P,19,14,33.31087,-96.24411
PCM17,PCM,2019,PCM-2019,PC,P,P,25,6,33.31087,-96.24411
PCM18,PCM,2019,PCM-2019,PC,P,P,13,8,33.31087,-96.24411
PCM19,PCM,2019,PCM-2019,PC,P,P,14,11,33.31087,-96.24411
PCM20,PCM,2019,PCM-2019,PC,P,P,13,0,33.31087,-96.24411
PCM21,PCM,2019,PCM-2019,PC,P,P,8,0,33.31087,-96.24411
PCM22,PCM,2019,PCM-2019,PC,P,P,10,8,33.31087,-96.24411
PCM23,PCM,2019,PCM-2019,PC,P,P,34,27,33.31087,-96.24411
PCM24,PCM,2019,PCM-2019,PC,P,P,16,10,33.31087,-96.24411
PCM25,PCM,2019,PCM-2019,PC,P,P,16,2,33.31087,-96.24411
PCM26,PCM,2019,PCM-2019,PC,P,P,13,3,33.31087,-96.24411
PCM27,PCM,2019,PCM-2019,PC,P,P,17,8,33.31087,-96.24411
PCM28,PCM,2019,PCM-2019,PC,P,P,32,15,33.31087,-96.24411
PCM29,PCM,2019,PCM-2019,PC,P,P,20,9,33.31087,-96.24411
PCM30,PCM,2019,PCM-2019,PC,P,P,22,11,33.31087,-96.24411
PCM31,PCM,2019,PCM-2019,PC,P,P,20,16,33.31087,-96.24411
PMT01,PMT,2019,PMT-2019,PC,P,P,48,32,31.88892,-97.69912
PMT02,PMT,2019,PMT-2019,PC,P,P,50,33,31.88892,-97.69912
PMT03,PMT,2019,PMT-2019,PC,P,P,54,30,31.88892,-97.69912
PMT04,PMT,2019,PMT-2019,PC,P,P,25,20,31.88892,-97.69912
PMT05,PMT,2019,PMT-2019,PC,P,P,37,32,31.88892,-97.69912
PMT06,PMT,2019,PMT-2019,PC,P,P,21,15,31.88892,-97.69912
PMT07,PMT,2019,PMT-2019,PC,P,P,39,32,31.88892,-97.69912
PMT08,PMT,2019,PMT-2019,PC,P,P,24,18,31.88892,-97.69912
PMT09,PMT,2019,PMT-2019,PC,P,P,44,38,31.88892,-97.69912
PMT10,PMT,2019,PMT-2019,PC,P,P,26,16,31.88892,-97.69912
PMT11,PMT,2019,PMT-2019,PC,P,P,24,14,31.88892,-97.69912
PMT12,PMT,2019,PMT-2019,PC,P,P,21,14,31.88892,-97.69912
PMT13,PMT,2019,PMT-2019,PC,P,P,67,56,31.88892,-97.69912
PMT14,PMT,2019,PMT-2019,PC,P,P,54,24,31.88892,-97.69912
PMT15,PMT,2019,PMT-2019,PC,P,P,17,13,31.88892,-97.69912
